scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,pv_max_voltage_pu,pv_max_transformer_loading_pct,worst_transformer,label,constraint_type,delta
S01501,IEEE_CompTestFeeder,621,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.035218678156785255
S01502,IEEE_CompTestFeeder,621,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.03859144511709112
S01503,IEEE_CompTestFeeder,621,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.041939321344975355
S01504,IEEE_CompTestFeeder,621,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079494749
S01505,IEEE_CompTestFeeder,622,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.03702916696300196
S01506,IEEE_CompTestFeeder,622,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.04025414398131566
S01507,IEEE_CompTestFeeder,622,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.043457522969938434
S01508,IEEE_CompTestFeeder,622,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.0466397052385491
S01509,IEEE_CompTestFeeder,622,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.049801079773924006
S01510,IEEE_CompTestFeeder,622,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.05294202376348578
S01511,IEEE_CompTestFeeder,622,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.05606290308985529
S01512,IEEE_CompTestFeeder,622,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.05916407279970637
S01513,IEEE_CompTestFeeder,622,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.06224587754759903
S01514,IEEE_CompTestFeeder,623,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.039685672567833286
S01515,IEEE_CompTestFeeder,623,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398421139
S01516,IEEE_CompTestFeeder,623,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.04911181392709463
S01517,IEEE_CompTestFeeder,623,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.053758023172012614
S01518,IEEE_CompTestFeeder,623,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.05836121943978767
S01519,IEEE_CompTestFeeder,623,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.06292251059511045
S01520,IEEE_CompTestFeeder,624,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.035218678156851424
S01521,IEEE_CompTestFeeder,624,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.03859144511705048
S01522,IEEE_CompTestFeeder,624,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.041939321344922065
S01523,IEEE_CompTestFeeder,624,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079499034
S01524,IEEE_CompTestFeeder,625,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.03702916696302272
S01525,IEEE_CompTestFeeder,625,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.040254143981305335
S01526,IEEE_CompTestFeeder,625,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.04345752297000738
S01527,IEEE_CompTestFeeder,625,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.04663970523855099
S01528,IEEE_CompTestFeeder,625,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.04980107977400405
S01529,IEEE_CompTestFeeder,625,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.05294202376354029
S01530,IEEE_CompTestFeeder,625,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.05606290308982409
S01531,IEEE_CompTestFeeder,625,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.05916407279972624
S01532,IEEE_CompTestFeeder,625,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.06224587754768818
S01533,IEEE_CompTestFeeder,626,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.039685672567808306
S01534,IEEE_CompTestFeeder,626,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398423237
S01535,IEEE_CompTestFeeder,626,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.04911181392710118
S01536,IEEE_CompTestFeeder,626,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.053758023171923464
S01537,IEEE_CompTestFeeder,626,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.05836121943983508
S01538,IEEE_CompTestFeeder,626,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.06292251059506704
S01539,IEEE_CompTestFeeder,633,0,75,75,0.91349,0.94918,0.03569,1.0061,92.53,T7,CAUTION,none,0.03568709542905202
S01540,IEEE_CompTestFeeder,633,0,80,80,0.91349,0.95146,0.03796,1.00614,92.51,T7,CAUTION,none,0.037963569869259084
S01541,IEEE_CompTestFeeder,633,0,85,85,0.91349,0.95372,0.04023,1.00619,92.49,T7,CAUTION,none,0.04022829100335967
S01542,IEEE_CompTestFeeder,633,0,90,90,0.91349,0.95597,0.04248,1.00623,92.48,T1,CAUTION,none,0.042481428476191185
S01543,IEEE_CompTestFeeder,633,0,95,95,0.91349,0.95821,0.04472,1.00628,92.47,T1,CAUTION,none,0.04472314787948184
S01544,IEEE_CompTestFeeder,633,0,100,100,0.91349,0.96045,0.04695,1.00632,92.47,T1,CAUTION,none,0.04695361088624572
S01545,IEEE_CompTestFeeder,633,0,110,110,0.91349,0.96487,0.05138,1.0064,92.46,T1,CONSTRAINED,voltage_rise,0.051381395570324395
S01546,IEEE_CompTestFeeder,633,0,120,120,0.91349,0.96926,0.05577,1.00649,92.45,T1,CONSTRAINED,voltage_rise,0.05576600228239448
S01547,IEEE_CompTestFeeder,633,0,130,130,0.91349,0.9736,0.06011,1.00657,92.44,T1,CONSTRAINED,voltage_rise,0.06010859576445715
S01548,IEEE_CompTestFeeder,716,0,65,65,0.97764,1.0134,0.03576,1.0134,165.7,T24,CONSTRAINED,transformer_loading,0.03575761657935006
S01549,IEEE_CompTestFeeder,716,0,70,70,0.97764,1.016,0.03836,1.016,181.32,T24,CONSTRAINED,transformer_loading,0.03835786869288427
S01550,IEEE_CompTestFeeder,716,0,75,75,0.97764,1.01858,0.04094,1.01858,196.92,T24,CONSTRAINED,transformer_loading,0.04093853243260992
S01551,IEEE_CompTestFeeder,716,0,80,80,0.97764,1.02114,0.0435,1.02114,212.49,T24,CONSTRAINED,transformer_loading,0.04349994000608115
S01552,IEEE_CompTestFeeder,716,0,85,85,0.97764,1.02368,0.04604,1.02368,228.02,T24,CONSTRAINED,transformer_loading,0.0460424138612312
S01553,IEEE_CompTestFeeder,716,0,90,90,0.97764,1.0262,0.04857,1.0262,243.51,T24,CONSTRAINED,transformer_loading,0.04856626707951772
S01554,IEEE_CompTestFeeder,716,0,95,95,0.97764,1.02871,0.05107,1.02871,258.95,T24,CONSTRAINED,voltage_rise,0.051071803748202305
S01555,IEEE_CompTestFeeder,716,0,100,100,0.97764,1.0312,0.05356,1.0312,274.35,T24,CONSTRAINED,voltage_rise,0.05355931931417657
S01556,IEEE_CompTestFeeder,716,0,110,110,0.97764,1.03612,0.05848,1.03612,304.97,T24,CONSTRAINED,voltage_rise,0.058481427722669954
S01557,IEEE_CompTestFeeder,716,0,120,120,0.97764,1.04097,0.06333,1.04097,335.37,T24,CONSTRAINED,voltage_rise,0.06333479543132992
S01558,IEEE_CompTestFeeder,721,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.03521867815684743
S01559,IEEE_CompTestFeeder,721,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.038591445117026946
S01560,IEEE_CompTestFeeder,721,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.04193932134485945
S01561,IEEE_CompTestFeeder,721,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079497058
S01562,IEEE_CompTestFeeder,722,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.03702916696302283
S01563,IEEE_CompTestFeeder,722,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.04025414398133942
S01564,IEEE_CompTestFeeder,722,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.043457522969993057
S01565,IEEE_CompTestFeeder,722,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.04663970523847738
S01566,IEEE_CompTestFeeder,722,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.049801079774003054
S01567,IEEE_CompTestFeeder,722,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.052942023763491775
S01568,IEEE_CompTestFeeder,722,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.05606290308982331
S01569,IEEE_CompTestFeeder,722,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.05916407279973701
S01570,IEEE_CompTestFeeder,722,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.06224587754762034
S01571,IEEE_CompTestFeeder,723,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.03968567256779154
S01572,IEEE_CompTestFeeder,723,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398418874
S01573,IEEE_CompTestFeeder,723,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.04911181392703112
S01574,IEEE_CompTestFeeder,723,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.0537580231719651
S01575,IEEE_CompTestFeeder,723,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.058361219439755474
S01576,IEEE_CompTestFeeder,723,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.06292251059506448
S01577,IEEE_CompTestFeeder,724,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.0352186781567948
S01578,IEEE_CompTestFeeder,724,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.03859144511697454
S01579,IEEE_CompTestFeeder,724,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.041939321344968694
S01580,IEEE_CompTestFeeder,724,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079494105
S01581,IEEE_CompTestFeeder,725,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.037029166963010285
S01582,IEEE_CompTestFeeder,725,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.04025414398129534
S01583,IEEE_CompTestFeeder,725,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.043457522969975404
S01584,IEEE_CompTestFeeder,725,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.046639705238576745
S01585,IEEE_CompTestFeeder,725,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.04980107977397763
