bus_id,transformer_sn_kva,base_voltage_pu,feeder_distance_km,upstream_r_ohm,upstream_x_ohm,upstream_z_ohm
620,300.0,0.99456,7.0957,4.1795,2.816,5.0396
621,300.0,0.99456,7.1414,4.1987,2.8231,5.0595
622,300.0,0.99456,7.1872,4.2178,2.8303,5.0794
623,300.0,0.99456,7.2329,4.237,2.8374,5.0993
624,300.0,0.99456,7.1414,4.1987,2.8231,5.0595
625,300.0,0.99456,7.1872,4.2178,2.8303,5.0794
626,300.0,0.99456,7.2329,4.237,2.8374,5.0993
632,150.0,0.92105,16.9926,11.6578,8.5847,14.4776
633,150.0,0.91348,17.0383,11.6797,8.589,14.4978
708,300.0,0.95801,6.2484,3.6185,2.8328,4.5954
710,300.0,0.95736,7.0104,4.008,2.9713,4.9893
712,300.0,0.95826,7.7724,4.5565,3.3703,5.6675
714,30.0,0.99083,0.9144,0.4676,0.2627,0.5363
715,5000.0,0.99083,0.9144,0.4676,0.2627,0.5363
716,300.0,0.97763,0.9144,0.4676,0.2627,0.5363
720,300.0,0.99456,7.0957,4.1795,2.816,5.0396
721,5000.0,0.99456,7.1414,4.1987,2.8231,5.0595
722,5000.0,0.99456,7.1872,4.2178,2.8303,5.0794
723,5000.0,0.99456,7.2329,4.237,2.8374,5.0993
724,5000.0,0.99456,7.1414,4.1987,2.8231,5.0595
725,5000.0,0.99456,7.1872,4.2178,2.8303,5.0794
726,5000.0,0.99456,7.2329,4.237,2.8374,5.0993
728,75.0,0.93706,11.5824,7.8923,5.7834,9.7845
730,300.0,0.94696,11.8872,7.965,5.8252,9.8678
732,150.0,0.92105,16.9926,11.6578,8.5847,14.4776
733,5000.0,0.91348,17.0383,11.6797,8.589,14.4978
734,5000.0,0.90591,17.084,11.7015,8.5933,14.5179
739,150.0,0.98477,24.6125,15.6519,11.8507,19.6321
740,150.0,0.98202,23.0885,14.9212,11.4648,18.8171
743,300.0,0.96367,21.8693,15.052,11.1097,18.708
748,150.0,0.95585,27.31,18.8387,13.9267,23.4276
751,1500.0,0.9685,34.4789,23.8283,17.6385,29.6463
756,300.0,0.93609,39.8129,27.5407,20.4003,34.2734
759,150.0,0.93737,40.2701,27.7136,20.528,34.4883
762,150.0,0.93629,42.0074,28.9831,21.4317,36.0463
764,150.0,0.9365,42.617,29.4074,21.7473,36.5751
769,150.0,0.95405,44.5068,31.369,22.8385,38.8022
770,1500.0,0.95059,44.5068,31.369,22.8385,38.8022
772,300.0,0.93424,43.184,29.887,22.1458,37.1977
6201,300.0,0.99456,7.0957,4.1795,2.816,5.0396
6202,300.0,0.99456,7.0957,4.1795,2.816,5.0396
6211,300.0,0.99456,7.1414,4.1987,2.8231,5.0595
6212,300.0,0.99456,7.1414,4.1987,2.8231,5.0595
6221,300.0,0.99456,7.1872,4.2178,2.8303,5.0794
6222,300.0,0.99456,7.1872,4.2178,2.8303,5.0794
6231,300.0,0.99456,7.2329,4.237,2.8374,5.0993
6232,300.0,0.99456,7.2329,4.237,2.8374,5.0993
6241,300.0,0.99456,7.1414,4.1987,2.8231,5.0595
6242,300.0,0.99456,7.1414,4.1987,2.8231,5.0595
6251,300.0,0.99456,7.1872,4.2178,2.8303,5.0794
6252,300.0,0.99456,7.1872,4.2178,2.8303,5.0794
6261,300.0,0.99456,7.2329,4.237,2.8374,5.0993
6262,300.0,0.99456,7.2329,4.237,2.8374,5.0993
6321,150.0,0.92105,16.9926,11.6578,8.5847,14.4776
6322,150.0,0.92105,16.9926,11.6578,8.5847,14.4776
6331,150.0,0.91348,17.0383,11.6797,8.589,14.4978
6332,150.0,0.91348,17.0383,11.6797,8.589,14.4978
7121,300.0,0.95826,7.7724,4.5565,3.3703,5.6675
7122,300.0,0.95826,7.7724,4.5565,3.3703,5.6675
7391,150.0,0.98477,24.6125,15.6519,11.8507,19.6321
7392,150.0,0.98477,24.6125,15.6519,11.8507,19.6321
7393,150.0,0.98477,24.6125,15.6519,11.8507,19.6321
7481,150.0,0.95585,27.31,18.8387,13.9267,23.4276
7482,150.0,0.95585,27.31,18.8387,13.9267,23.4276
7483,150.0,0.95585,27.31,18.8387,13.9267,23.4276
7641,150.0,0.9365,42.617,29.4074,21.7473,36.5751
7642,150.0,0.9365,42.617,29.4074,21.7473,36.5751
7643,150.0,0.9365,42.617,29.4074,21.7473,36.5751
7691,150.0,0.95405,44.5068,31.369,22.8385,38.8022
7692,150.0,0.95405,44.5068,31.369,22.8385,38.8022
7693,150.0,0.95405,44.5068,31.369,22.8385,38.8022
