bus_id,bus_name,pp_bus_idx,voltage_level_kv,voltage_level_label,phase_configuration,existing_load_kw,existing_q_kvar,base_voltage_pu,transformer_association,feeder_section,pv_eligible,eligibility_reason
700,700,9,115.0,115 kV HV,115kV source,0,0,1.0,T-SUB(HV),Source,NO,Source bus - not customer
701,701,10,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9667,T-SUB,Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
702,702,11,24.9,24.9 kV MV,Y 24.9kV primary,0,0,1.0054,Reg 1,Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
703,703,12,24.9,24.9 kV MV,Y 24.9kV primary,0,0,1.0033,-,Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
704,704,13,24.9,24.9 kV MV,Y 24.9kV primary,0,0,1.0021,T21(HV),Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
705,705,14,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9993,T21,Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
706,706,15,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9625,Reg 5,Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
707,707,16,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9617,T16(HV),Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
709,709,18,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9612,T17(HV),Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
711,711,20,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9609,T18(HV),Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
713,713,22,24.9,24.9 kV MV,Y 24.9kV primary,0,0,1.0033,T1(HV),Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
717,717,26,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9806,Reg 4(HV),Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
718,718,27,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9988,Reg 4,Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
719,719,28,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9988,T2(HV),Head_701-719,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
727,727,36,24.9,24.9 kV MV,Y 24.9kV primary,95.0,30.0,0.951,T3(HV),Main_720-734,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
729,729,38,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.951,T23(HV),Main_720-734,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
731,731,40,24.9,24.9 kV MV,Y 24.9kV primary,70.0,37.0,0.9265,T4(HV),Main_720-734,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
735,735,44,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9225,Reg 2(HV),Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
736,736,45,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9906,Reg 2,Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
737,737,46,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9899,T5(HV),Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
738,738,47,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9899,T6(HV),Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
741,741,50,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9783,-,Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
742,742,51,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9765,T7(HV),Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
744,744,53,24.9,24.9 kV MV,Y 24.9kV primary,950.0,500.0,0.9624,-,Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
