pv_bus,pv_bus_vn_kv,existing_pv_kw,new_pv_kw,total_pv_kw,existing_load_at_bus_kw,pv_penetration_ratio,transformer_association,feeder_section,label,constraint_type,delta_pv_bus_voltage_pu,pv_max_voltage_pu,pv_max_transformer_loading_pct,reverse_power_flow
748,0.24,15,224,239,76.88,3.108740894901145,T8,Main_735-750,CONSTRAINED,transformer_loading,0.02134,1.00821,114.81,1
7693,0.24,0,205,205,0.0,205.0,T22,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.03049,1.00836,111.61,1
624,0.24,5,111,116,0.0,116.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.03877,1.03517,92.64,1
6251,0.24,3,159,162,0.0,162.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.09973,1.09639,92.6,1
714,0.208,13,90,103,240.0,0.42916666666666664,T24,Branch_701-708,SAFE,none,0.00215,1.00598,92.72,0
7392,0.24,0,214,214,0.0,214.0,T6,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.01763,1.00756,115.7,1
772,0.208,0,103,103,100.0,1.03,T19,Delta_766-772,SAFE,none,0.01107,1.00687,92.41,0
743,0.24,12,127,139,240.0,0.5791666666666667,T7,Main_735-750,SAFE,none,0.00878,1.00705,92.4,0
6252,0.24,0,186,186,0.0,186.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.1153,1.10987,92.57,1
764,0.24,0,137,137,46.0,2.9782608695652173,T14,Branch_752-765,CAUTION,caution,0.01713,1.0073,92.37,1
623,0.24,0,114,114,0.0,114.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.10561,1.10018,92.66,1
6202,0.24,0,21,21,0.0,21.0,T2,LV_secondary_T2_T4,SAFE,none,0.00068,1.00551,92.77,0
734,0.24,15,20,35,15.85,2.2082018927444795,-,Main_720-734,SAFE,none,0.01767,1.00572,92.67,0
739,0.24,15,70,85,41.1,2.068126520681265,T6,Main_735-750,CAUTION,caution,0.00592,1.00629,92.47,1
6211,0.24,0,118,118,0.0,118.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.04127,1.03584,92.63,1
