pv_bus,pv_bus_vn_kv,existing_pv_kw,new_pv_kw,total_pv_kw,existing_load_at_bus_kw,pv_penetration_ratio,transformer_association,feeder_section,transformer_sn_kva,pv_to_transformer_ratio,new_pv_to_transformer_ratio,load_to_transformer_ratio,base_voltage_pu,feeder_distance_km,upstream_r_ohm,upstream_x_ohm,upstream_z_ohm,label,constraint_type,delta_pv_bus_voltage_pu,pv_max_voltage_pu,pv_max_transformer_loading_pct,reverse_power_flow
728,0.24,0,237,237,38.0,6.2368421052631575,T3,Main_720-734,75.0,3.16,3.16,0.5066666666666667,0.93706,11.5824,7.8923,5.7834,9.7845,CONSTRAINED,transformer_loading,0.04304,1.00707,272.67,1
726,0.24,12,122,134,0.0,134.0,-,Main_720-734,5000.0,0.0268,0.0244,0.0,0.99456,7.2329,4.237,2.8374,5.0993,CONSTRAINED,voltage,0.10983,1.11666,92.64,1
6262,0.24,0,45,45,0.0,45.0,T2,LV_secondary_T2_T4,300.0,0.15,0.15,0.0,0.99456,7.2329,4.237,2.8374,5.0993,CAUTION,caution,0.04442,1.03899,92.74,0
6212,0.24,0,250,250,0.0,250.0,T2,LV_secondary_T2_T4,300.0,0.8333333333333334,0.8333333333333334,0.0,0.99456,7.1414,4.1987,2.8231,5.0595,CONSTRAINED,voltage,0.0834,1.07797,92.48,1
770,0.24,0,143,143,450.0,0.31777777777777777,T15,Delta_766-772,1500.0,0.09533333333333334,0.09533333333333334,0.3,0.95059,44.5068,31.369,22.8385,38.8022,SAFE,none,0.01765,1.00761,92.34,0
710,0.208,0,68,68,80.0,0.85,T17,Branch_701-708,300.0,0.22666666666666666,0.22666666666666666,0.26666666666666666,0.95736,7.0104,4.008,2.9713,4.9893,SAFE,none,0.00272,1.00576,92.75,0
726,0.24,0,167,167,0.0,167.0,-,Main_720-734,5000.0,0.0334,0.0334,0.0,0.99456,7.2329,4.237,2.8374,5.0993,CONSTRAINED,voltage,0.14827,1.14284,92.61,1
7693,0.24,0,61,61,0.0,61.0,T22,LV_secondary_T2_T4,150.0,0.4066666666666667,0.4066666666666667,0.0,0.95405,44.5068,31.369,22.8385,38.8022,CAUTION,caution,0.0095,1.00633,92.47,1
620,0.24,0,58,58,0.0,58.0,T2,LV_secondary_T2_T4,300.0,0.19333333333333333,0.19333333333333333,0.0,0.99456,7.0957,4.1795,2.816,5.0396,SAFE,none,0.00186,1.00576,92.71,0
748,0.24,0,170,170,76.88,2.211238293444329,T8,Main_735-750,150.0,1.1333333333333333,1.1333333333333333,0.5125333333333333,0.95585,27.31,18.8387,13.9267,23.4276,CAUTION,caution,0.01653,1.00745,92.36,1
7642,0.24,0,91,91,0.0,91.0,T14,LV_secondary_T2_T4,150.0,0.6066666666666667,0.6066666666666667,0.0,0.9365,42.617,29.4074,21.7473,36.5751,CAUTION,caution,0.01153,1.00668,92.43,1
6242,0.24,0,188,188,0.0,188.0,T2,LV_secondary_T2_T4,300.0,0.6266666666666667,0.6266666666666667,0.0,0.99456,7.1414,4.1987,2.8231,5.0595,CONSTRAINED,voltage,0.06408,1.05865,92.55,1
6261,0.24,0,146,146,0.0,146.0,T2,LV_secondary_T2_T4,300.0,0.4866666666666667,0.4866666666666667,0.0,0.99456,7.2329,4.237,2.8374,5.0993,CONSTRAINED,voltage,0.13175,1.12632,92.63,1
