pv_bus,pv_bus_vn_kv,existing_pv_kw,new_pv_kw,total_pv_kw,existing_load_at_bus_kw,pv_penetration_ratio,transformer_association,feeder_section,label
748,0.24,15,224,239,76.88,3.108740894901145,T8,Main_735-750,CONSTRAINED
7693,0.24,0,205,205,0.0,205.0,T22,LV_secondary_T2_T4,CONSTRAINED
624,0.24,5,111,116,0.0,116.0,T2,LV_secondary_T2_T4,CAUTION
6251,0.24,3,159,162,0.0,162.0,T2,LV_secondary_T2_T4,CONSTRAINED
714,0.208,13,90,103,240.0,0.42916666666666664,T24,Branch_701-708,SAFE
7392,0.24,0,214,214,0.0,214.0,T6,LV_secondary_T2_T4,CONSTRAINED
772,0.208,0,103,103,100.0,1.03,T19,Delta_766-772,SAFE
743,0.24,12,127,139,240.0,0.5791666666666667,T7,Main_735-750,SAFE
6252,0.24,0,186,186,0.0,186.0,T2,LV_secondary_T2_T4,CONSTRAINED
764,0.24,0,137,137,46.0,2.9782608695652173,T14,Branch_752-765,CAUTION
623,0.24,0,114,114,0.0,114.0,T2,LV_secondary_T2_T4,CONSTRAINED
6202,0.24,0,21,21,0.0,21.0,T2,LV_secondary_T2_T4,SAFE
734,0.24,15,20,35,15.85,2.2082018927444795,-,Main_720-734,SAFE
739,0.24,15,70,85,41.1,2.068126520681265,T6,Main_735-750,CAUTION
6211,0.24,0,118,118,0.0,118.0,T2,LV_secondary_T2_T4,CAUTION
723,0.24,0,179,179,0.0,179.0,-,Main_720-734,CONSTRAINED
721,0.24,14,211,225,0.0,225.0,-,Main_720-734,CONSTRAINED
716,0.48,0,192,192,15.85,12.113564668769717,T24(HV),Branch_701-708,CONSTRAINED
740,0.24,0,178,178,75.0,2.3733333333333335,T5,Main_735-750,CAUTION
7392,0.24,0,231,231,0.0,231.0,T6,LV_secondary_T2_T4,CONSTRAINED
6242,0.24,0,171,171,0.0,171.0,T2,LV_secondary_T2_T4,CONSTRAINED
6232,0.24,9,48,57,0.0,57.0,T2,LV_secondary_T2_T4,CONSTRAINED
759,0.24,6,161,167,35.0,4.771428571428571,T12,Branch_752-765,CAUTION
621,0.24,0,121,121,0.0,121.0,T2,LV_secondary_T2_T4,CAUTION
725,0.24,0,246,246,0.0,246.0,-,Main_720-734,CONSTRAINED
6212,0.24,0,250,250,0.0,250.0,T2,LV_secondary_T2_T4,CONSTRAINED
733,0.24,0,22,22,0.0,22.0,-,Main_720-734,SAFE
6202,0.24,3,8,11,0.0,11.0,T2,LV_secondary_T2_T4,SAFE
7121,0.24,4,142,146,0.0,146.0,T18,LV_secondary_T2_T4,CAUTION
6211,0.24,0,74,74,0.0,74.0,T2,LV_secondary_T2_T4,SAFE
6222,0.24,0,128,128,0.0,128.0,T2,LV_secondary_T2_T4,CONSTRAINED
708,0.24,0,8,8,75.0,0.10666666666666667,T16,Branch_701-708,SAFE
624,0.24,0,235,235,0.0,235.0,T2,LV_secondary_T2_T4,CONSTRAINED
7122,0.24,8,216,224,0.0,224.0,T18,LV_secondary_T2_T4,CAUTION
740,0.24,8,221,229,75.0,3.0533333333333332,T5,Main_735-750,CONSTRAINED
6241,0.24,0,170,170,0.0,170.0,T2,LV_secondary_T2_T4,CONSTRAINED
708,0.24,0,21,21,75.0,0.28,T16,Branch_701-708,SAFE
712,0.24,0,59,59,65.0,0.9076923076923077,T18,Branch_701-708,SAFE
6241,0.24,11,73,84,0.0,84.0,T2,LV_secondary_T2_T4,CAUTION
6231,0.24,0,97,97,0.0,97.0,T2,LV_secondary_T2_T4,CONSTRAINED
6212,0.24,0,194,194,0.0,194.0,T2,LV_secondary_T2_T4,CONSTRAINED
7392,0.24,8,239,247,0.0,247.0,T6,LV_secondary_T2_T4,CONSTRAINED
6211,0.24,7,172,179,0.0,179.0,T2,LV_secondary_T2_T4,CONSTRAINED
708,0.24,0,120,120,75.0,1.6,T16,Branch_701-708,CAUTION
626,0.24,10,89,99,0.0,99.0,T2,LV_secondary_T2_T4,CONSTRAINED
7483,0.24,5,70,75,0.0,75.0,T8,LV_secondary_T2_T4,SAFE
624,0.24,11,133,144,0.0,144.0,T2,LV_secondary_T2_T4,CAUTION
764,0.24,0,207,207,46.0,4.5,T14,Branch_752-765,CONSTRAINED
620,0.24,15,231,246,0.0,246.0,T2,LV_secondary_T2_T4,CAUTION
621,0.24,0,34,34,0.0,34.0,T2,LV_secondary_T2_T4,SAFE
6211,0.24,13,85,98,0.0,98.0,T2,LV_secondary_T2_T4,CAUTION
7391,0.24,12,181,193,0.0,193.0,T6,LV_secondary_T2_T4,CONSTRAINED
759,0.24,0,180,180,35.0,5.142857142857143,T12,Branch_752-765,CONSTRAINED
6322,0.24,9,97,106,0.0,106.0,T4,LV_secondary_T2_T4,CAUTION
724,0.24,0,159,159,0.0,159.0,-,Main_720-734,CONSTRAINED
725,0.24,0,92,92,0.0,92.0,-,Main_720-734,CONSTRAINED
708,0.24,12,114,126,75.0,1.68,T16,Branch_701-708,CAUTION
6261,0.24,0,210,210,0.0,210.0,T2,LV_secondary_T2_T4,CONSTRAINED
7643,0.24,3,189,192,0.0,192.0,T14,LV_secondary_T2_T4,CONSTRAINED
764,0.24,0,125,125,46.0,2.717391304347826,T14,Branch_752-765,CAUTION
739,0.24,0,190,190,41.1,4.622871046228711,T6,Main_735-750,CONSTRAINED
748,0.24,3,97,100,76.88,1.3007284079084287,T8,Main_735-750,CAUTION
626,0.24,0,172,172,0.0,172.0,T2,LV_secondary_T2_T4,CONSTRAINED
7122,0.24,9,50,59,0.0,59.0,T18,LV_secondary_T2_T4,SAFE
620,0.24,0,166,166,0.0,166.0,T2,LV_secondary_T2_T4,CAUTION
6322,0.24,0,179,179,0.0,179.0,T4,LV_secondary_T2_T4,CAUTION
6202,0.24,0,142,142,0.0,142.0,T2,LV_secondary_T2_T4,CAUTION
620,0.24,0,206,206,0.0,206.0,T2,LV_secondary_T2_T4,CAUTION
770,0.24,0,198,198,450.0,0.44,T15,Delta_766-772,SAFE
732,0.24,10,28,38,25.4,1.4960629921259843,T4,Main_720-734,SAFE
7392,0.24,0,167,167,0.0,167.0,T6,LV_secondary_T2_T4,CAUTION
633,0.24,0,209,209,0.0,209.0,T4,LV_secondary_T2_T4,CONSTRAINED
721,0.24,7,45,52,0.0,52.0,-,Main_720-734,SAFE
