scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,base_min_voltage_pu,base_max_voltage_pu,pv_min_voltage_pu,pv_max_voltage_pu,max_voltage_rise_pu,worst_voltage_bus,base_max_line_loading_pct,pv_max_line_loading_pct,base_max_transformer_loading_pct,pv_max_transformer_loading_pct,worst_line,worst_transformer,reverse_power_flow,reverse_reason,existing_load_at_bus_kw,pv_bus_vn_kv,constraint_type,constraint_reason,label,converged,method,transformer_sn_kva,base_voltage_pu,feeder_distance_km,upstream_r_ohm,upstream_x_ohm,upstream_z_ohm,pv_to_transformer_ratio,new_pv_to_transformer_ratio,load_to_transformer_ratio,pv_penetration_ratio,transformer_association,feeder_section,bus_id
S01693,IEEE_CompTestFeeder,756,0,8,8,0.93612,0.93701,0.00089,0.90593,1.00536,0.9063,1.00549,0.00012,702,8.77,8.75,92.8,92.76,OH-1 parallel with OH-2,T7,0,none,155.0,0.208,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.93609,39.8129,27.5407,20.4003,34.2734,0.02666666666666667,0.02666666666666667,0.5166666666666667,0.05161290322580645,T11,Branch_752-765,756
S01694,IEEE_CompTestFeeder,756,5,8,13,0.93667,0.93756,0.00089,0.90616,1.00544,0.90654,1.00556,0.00012,702,8.76,8.73,92.77,92.73,OH-1 parallel with OH-2,T7,0,none,155.0,0.208,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.93609,39.8129,27.5407,20.4003,34.2734,0.043333333333333335,0.02666666666666667,0.5166666666666667,0.08387096774193549,T11,Branch_752-765,756
S01695,IEEE_CompTestFeeder,756,0,12,12,0.93612,0.93745,0.00133,0.90593,1.00536,0.90649,1.00555,0.00018,702,8.77,8.73,92.8,92.74,OH-1 parallel with OH-2,T7,0,none,155.0,0.208,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.93609,39.8129,27.5407,20.4003,34.2734,0.04,0.04,0.5166666666666667,0.07741935483870968,T11,Branch_752-765,756
S01696,IEEE_CompTestFeeder,756,5,12,17,0.93667,0.938,0.00133,0.90616,1.00544,0.90672,1.00562,0.00018,702,8.76,8.72,92.77,92.71,OH-1 parallel with OH-2,T7,0,none,155.0,0.208,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.93609,39.8129,27.5407,20.4003,34.2734,0.056666666666666664,0.04,0.5166666666666667,0.10967741935483871,T11,Branch_752-765,756
S01697,IEEE_CompTestFeeder,756,0,18,18,0.93612,0.93812,0.002,0.90593,1.00536,0.90677,1.00564,0.00027,702,8.77,8.72,92.8,92.7,OH-1 parallel with OH-2,T7,0,none,155.0,0.208,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.93609,39.8129,27.5407,20.4003,34.2734,0.06,0.06,0.5166666666666667,0.11612903225806452,T11,Branch_752-765,756
S01698,IEEE_CompTestFeeder,756,5,18,23,0.93667,0.93867,0.00199,0.90616,1.00544,0.907,1.00571,0.00027,702,8.76,8.7,92.77,92.67,OH-1 parallel with OH-2,T7,0,none,155.0,0.208,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.93609,39.8129,27.5407,20.4003,34.2734,0.07666666666666666,0.06,0.5166666666666667,0.14838709677419354,T11,Branch_752-765,756
S01699,IEEE_CompTestFeeder,756,0,22,22,0.93612,0.93856,0.00244,0.90593,1.00536,0.90695,1.0057,0.00033,702,8.77,8.7,92.8,92.68,OH-1 parallel with OH-2,T7,0,none,155.0,0.208,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.93609,39.8129,27.5407,20.4003,34.2734,0.07333333333333333,0.07333333333333333,0.5166666666666667,0.14193548387096774,T11,Branch_752-765,756
S01700,IEEE_CompTestFeeder,762,0,8,8,0.93632,0.93735,0.00103,0.90593,1.00536,0.9063,1.00548,0.00012,702,8.77,8.75,92.8,92.76,OH-1 parallel with OH-2,T7,0,none,45.0,0.48,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.05333333333333334,0.05333333333333334,0.3,0.17777777777777778,T13,Branch_752-765,762
S01701,IEEE_CompTestFeeder,762,5,8,13,0.93696,0.93799,0.00103,0.90616,1.00544,0.90653,1.00556,0.00012,702,8.76,8.73,92.78,92.73,OH-1 parallel with OH-2,T7,0,none,45.0,0.48,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.08666666666666667,0.05333333333333334,0.3,0.28888888888888886,T13,Branch_752-765,762
S01702,IEEE_CompTestFeeder,762,0,12,12,0.93632,0.93786,0.00155,0.90593,1.00536,0.90648,1.00554,0.00018,702,8.77,8.74,92.8,92.74,OH-1 parallel with OH-2,T7,0,none,45.0,0.48,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.08,0.08,0.3,0.26666666666666666,T13,Branch_752-765,762
S01703,IEEE_CompTestFeeder,762,5,12,17,0.93696,0.9385,0.00154,0.90616,1.00544,0.90671,1.00562,0.00018,702,8.76,8.72,92.78,92.71,OH-1 parallel with OH-2,T7,0,none,45.0,0.48,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.11333333333333333,0.08,0.3,0.37777777777777777,T13,Branch_752-765,762
S01704,IEEE_CompTestFeeder,762,0,18,18,0.93632,0.93863,0.00232,0.90593,1.00536,0.90676,1.00563,0.00027,702,8.77,8.72,92.8,92.7,OH-1 parallel with OH-2,T7,0,none,45.0,0.48,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.12,0.12,0.3,0.4,T13,Branch_752-765,762
S01705,IEEE_CompTestFeeder,7391,0,8,8,0.98479,0.98548,0.00069,0.90593,1.00536,0.90623,1.00545,9e-05,702,8.77,8.75,92.8,92.77,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,0.05333333333333334,0.05333333333333334,0.0,8.0,T6,LV_secondary_T2_T4,7391
S01706,IEEE_CompTestFeeder,7391,5,8,13,0.98522,0.98591,0.00069,0.90612,1.00542,0.90642,1.00551,9e-05,702,8.76,8.74,92.78,92.75,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,0.08666666666666667,0.05333333333333334,0.0,13.0,T6,LV_secondary_T2_T4,7391
S01707,IEEE_CompTestFeeder,7391,0,12,12,0.98479,0.98583,0.00104,0.90593,1.00536,0.90638,1.0055,0.00013,702,8.77,8.74,92.8,92.75,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,0.08,0.08,0.0,12.0,T6,LV_secondary_T2_T4,7391
S01708,IEEE_CompTestFeeder,7391,5,12,17,0.98522,0.98626,0.00103,0.90612,1.00542,0.90657,1.00555,0.00013,702,8.76,8.73,92.78,92.73,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,0.11333333333333333,0.08,0.0,17.0,T6,LV_secondary_T2_T4,7391
S01709,IEEE_CompTestFeeder,620,0,8,8,0.99457,0.99483,0.00026,0.90593,1.00536,0.90604,1.00542,6e-05,702,8.77,8.76,92.8,92.79,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.99456,7.0957,4.1795,2.816,5.0396,0.02666666666666667,0.02666666666666667,0.0,8.0,T2,LV_secondary_T2_T4,620
S01710,IEEE_CompTestFeeder,620,5,8,13,0.99473,0.99499,0.00026,0.906,1.0054,0.90612,1.00545,6e-05,702,8.76,8.74,92.8,92.78,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.99456,7.0957,4.1795,2.816,5.0396,0.043333333333333335,0.02666666666666667,0.0,13.0,T2,LV_secondary_T2_T4,620
S01711,IEEE_CompTestFeeder,620,0,12,12,0.99457,0.99496,0.00039,0.90593,1.00536,0.9061,1.00545,8e-05,702,8.77,8.75,92.8,92.78,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.99456,7.0957,4.1795,2.816,5.0396,0.04,0.04,0.0,12.0,T2,LV_secondary_T2_T4,620
S01712,IEEE_CompTestFeeder,620,5,12,17,0.99473,0.99512,0.00039,0.906,1.0054,0.90618,1.00548,8e-05,702,8.76,8.73,92.8,92.78,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,300.0,0.99456,7.0957,4.1795,2.816,5.0396,0.056666666666666664,0.04,0.0,17.0,T2,LV_secondary_T2_T4,620
S01713,IEEE_CompTestFeeder,7642,0,8,8,0.93653,0.93756,0.00104,0.90593,1.00536,0.9063,1.00548,0.00012,702,8.77,8.75,92.8,92.76,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.9365,42.617,29.4074,21.7473,36.5751,0.05333333333333334,0.05333333333333334,0.0,8.0,T14,LV_secondary_T2_T4,7642
S01714,IEEE_CompTestFeeder,7642,5,8,13,0.93718,0.93821,0.00104,0.90616,1.00544,0.90653,1.00556,0.00012,702,8.76,8.73,92.78,92.73,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.9365,42.617,29.4074,21.7473,36.5751,0.08666666666666667,0.05333333333333334,0.0,13.0,T14,LV_secondary_T2_T4,7642
S01715,IEEE_CompTestFeeder,7642,0,12,12,0.93653,0.93808,0.00156,0.90593,1.00536,0.90648,1.00554,0.00018,702,8.77,8.74,92.8,92.74,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.9365,42.617,29.4074,21.7473,36.5751,0.08,0.08,0.0,12.0,T14,LV_secondary_T2_T4,7642
S01716,IEEE_CompTestFeeder,7642,5,12,17,0.93718,0.93873,0.00155,0.90616,1.00544,0.90671,1.00562,0.00018,702,8.76,8.72,92.78,92.71,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.9365,42.617,29.4074,21.7473,36.5751,0.11333333333333333,0.08,0.0,17.0,T14,LV_secondary_T2_T4,7642
S01717,IEEE_CompTestFeeder,6322,0,8,8,0.92107,0.92167,0.00061,0.90593,1.00536,0.90654,1.00545,8e-05,702,8.77,8.75,92.8,92.77,OH-1 parallel with OH-2,T7,0,none,0.0,0.24,none,No violation,SAFE,True,V4-expansion-same-as-Phase2,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,0.05333333333333334,0.05333333333333334,0.0,8.0,T4,LV_secondary_T2_T4,6322
