scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,base_min_voltage_pu,base_max_voltage_pu,pv_min_voltage_pu,pv_max_voltage_pu,max_voltage_rise_pu,worst_voltage_bus,base_max_line_loading_pct,pv_max_line_loading_pct,base_max_transformer_loading_pct,pv_max_transformer_loading_pct,worst_line,worst_transformer,base_total_p_kw,pv_total_p_kw,delta_total_p_kw,base_total_q_kvar,pv_total_q_kvar,delta_total_q_kvar,base_losses_kw,pv_losses_kw,delta_losses_kw,reverse_power_flow,constraint_type,constraint_reason,label,base_min_voltage_bus,base_max_voltage_bus,pv_min_voltage_bus,pv_max_voltage_bus,delta_line_loading_pct,delta_transformer_loading_pct,existing_load_at_bus_kw,pv_bus_vn_kv,base_worst_line,base_worst_transformer,reverse_reason,converged
S00001,IEEE_CompTestFeeder,716,0,75,75,0.97764,1.01858,0.04094,0.90593,1.00536,0.90644,1.01858,0.01321,716,8.77,8.77,92.8,196.92,OH-1 parallel with OH-2,T24,4178.44,4101.78,-76.66,1690.21,1675.53,-14.68,442.35,440.7,-1.66,0,transformer_loading,Transformer T24 loading 196.9% exceeds 100.0%,CONSTRAINED,734,702,734,716,-0.01,104.12,15.85,0.48,OH-1 parallel with OH-2,T7,none,True
S00002,IEEE_CompTestFeeder,751,0,193,193,0.96852,0.98229,0.01377,0.90593,1.00536,0.91357,1.00767,0.0023,702,8.77,8.19,92.8,92.34,OH-1 parallel with OH-2,T1,4178.44,3933.5,-244.95,1690.21,1593.16,-97.05,442.35,390.41,-51.95,0,none,No violation,SAFE,734,702,734,702,-0.58,-0.47,0,0.48,OH-1 parallel with OH-2,T7,none,True
S00003,IEEE_CompTestFeeder,715,0,233,233,0.99084,0.99631,0.00547,0.90593,1.00536,0.90761,1.00671,0.00134,702,8.77,8.76,92.8,92.62,OH-1 parallel with OH-2,T7,4178.44,3935.63,-242.81,1690.21,1641.71,-48.5,442.35,432.55,-9.81,0,none,No violation,SAFE,734,702,734,702,-0.02,-0.18,0,0.208,OH-1 parallel with OH-2,T7,none,True
S00004,IEEE_CompTestFeeder,7692,0,113,113,0.95408,0.97138,0.0173,0.90593,1.00536,0.91126,1.0071,0.00173,702,8.77,8.4,92.8,92.39,OH-1 parallel with OH-2,T1,4178.44,4023.1,-155.34,1690.21,1614.57,-75.63,442.35,400.02,-42.34,1,caution,reverse flow,CAUTION,734,702,734,702,-0.38,-0.41,0,0.24,OH-1 parallel with OH-2,T7,trafo 7 reversed,True
S00005,IEEE_CompTestFeeder,624,0,60,60,0.99457,1.01604,0.02147,0.90593,1.00536,0.90677,1.01604,0.01067,624,8.77,14.21,92.8,92.71,SEC-1,T7,4178.44,4114.55,-63.89,1690.21,1675.47,-14.74,442.35,438.47,-3.89,0,none,No violation,SAFE,734,702,734,624,5.43,-0.09,0,0.24,OH-1 parallel with OH-2,T7,none,True
S00006,IEEE_CompTestFeeder,743,0,11,11,0.96369,0.96447,0.00078,0.90593,1.00536,0.90638,1.0055,0.00014,702,8.77,8.74,92.8,92.55,OH-1 parallel with OH-2,T1,4178.44,4164.41,-14.03,1690.21,1684.29,-5.92,442.35,439.33,-3.03,0,none,No violation,SAFE,734,702,734,702,-0.03,-0.25,240.0,0.24,OH-1 parallel with OH-2,T7,none,True
S00007,IEEE_CompTestFeeder,733,14,144,158,0.92039,0.98555,0.06516,0.91288,1.00551,0.92763,1.00679,0.00128,702,8.73,34.77,92.75,92.42,SEC-7,T1,4161.29,3998.26,-163.03,1684.12,1632.36,-51.76,439.21,420.17,-19.03,1,voltage_rise,Voltage rise at PV bus 733 0.0652 pu exceeds 0.05,CONSTRAINED,734,702,735,702,26.03,-0.33,0,0.24,OH-1 parallel with OH-2,T7,trafo 3 reversed,True
S00008,IEEE_CompTestFeeder,6321,0,155,155,0.92107,0.9324,0.01133,0.90593,1.00536,0.91745,1.00687,0.00151,702,8.77,8.34,92.8,92.41,OH-1 parallel with OH-2,T1,4178.44,3992.51,-185.93,1690.21,1628.73,-61.48,442.35,411.42,-30.93,1,caution,reverse flow,CAUTION,734,702,734,702,-0.43,-0.39,0,0.24,OH-1 parallel with OH-2,T7,trafo 3 reversed,True
S00009,IEEE_CompTestFeeder,764,3,199,202,0.93692,0.96134,0.02442,0.90607,1.00541,0.91475,1.00813,0.00272,702,8.76,8.13,92.79,109.54,OH-1 parallel with OH-2,T14,4174.33,3909.72,-264.61,1688.24,1571.29,-116.95,441.25,375.63,-65.61,1,transformer_loading,Transformer T14 loading 109.5% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.64,16.76,46.0,0.24,OH-1 parallel with OH-2,T7,line 23 0.088->-0.110 reversed,True
S00010,IEEE_CompTestFeeder,725,0,92,92,0.99457,1.05497,0.0604,0.90593,1.00536,0.90713,1.05497,0.0496,625,8.77,20.98,92.8,92.67,SEC-2,T7,4178.44,4084.2,-94.24,1690.21,1670.18,-20.03,442.35,440.12,-2.24,1,voltage,Max voltage 1.0550 pu at bus 625 exceeds 1.05,CONSTRAINED,734,702,734,625,12.2,-0.13,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.021 reversed,True
S00011,IEEE_CompTestFeeder,764,0,250,250,0.93653,0.96684,0.03031,0.90593,1.00536,0.91669,1.00872,0.00335,702,8.77,7.98,92.8,141.69,OH-1 parallel with OH-2,T14,4178.44,3848.02,-330.42,1690.21,1546.83,-143.38,442.35,361.93,-80.42,1,transformer_loading,Transformer T14 loading 141.7% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.79,48.89,46.0,0.24,OH-1 parallel with OH-2,T7,line 23 0.091->-0.157 reversed,True
S00012,IEEE_CompTestFeeder,6221,0,102,102,0.99457,1.0611,0.06653,0.90593,1.00536,0.90724,1.0611,0.05573,622,8.77,23.12,92.8,92.66,SEC-5,T7,4178.44,4074.59,-103.86,1690.21,1668.47,-21.74,442.35,440.5,-1.86,1,voltage,Max voltage 1.0611 pu at bus 622 exceeds 1.05,CONSTRAINED,734,702,734,622,14.35,-0.14,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.030 reversed,True
S00013,IEEE_CompTestFeeder,714,0,93,93,0.99084,0.99307,0.00223,0.90593,1.00536,0.90662,1.00592,0.00056,702,8.77,8.77,92.8,92.73,OH-1 parallel with OH-2,T7,4178.44,4081.21,-97.24,1690.21,1669.63,-20.58,442.35,438.12,-4.24,0,none,No violation,SAFE,734,702,734,702,-0.01,-0.07,240.0,0.208,OH-1 parallel with OH-2,T7,none,True
S00014,IEEE_CompTestFeeder,759,14,122,136,0.93915,0.95382,0.01468,0.90657,1.00557,0.91193,1.00726,0.00169,702,8.73,8.34,92.73,92.38,OH-1 parallel with OH-2,T1,4159.4,3996.61,-162.79,1681.23,1608.6,-72.62,437.31,396.52,-40.79,1,caution,reverse flow,CAUTION,734,702,734,702,-0.39,-0.35,35.0,0.24,OH-1 parallel with OH-2,T7,line 18 0.021->-0.101 reversed,True
S00015,IEEE_CompTestFeeder,7691,0,241,241,0.95408,0.98953,0.03545,0.90593,1.00536,0.91679,1.00883,0.00346,702,8.77,7.99,92.8,135.19,OH-1 parallel with OH-2,T22,4178.44,3854.03,-324.41,1690.21,1540.83,-149.38,442.35,358.95,-83.41,1,transformer_loading,Transformer T22 loading 135.2% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.78,42.39,0,0.24,OH-1 parallel with OH-2,T7,trafo 7 reversed,True
S00016,IEEE_CompTestFeeder,6242,0,80,80,0.99457,1.02297,0.0284,0.90593,1.00536,0.90704,1.02297,0.0176,624,8.77,18.81,92.8,92.68,SEC-1,T7,4178.44,4093.85,-84.59,1690.21,1671.06,-19.15,442.35,437.76,-4.59,1,caution,reverse flow,CAUTION,734,702,734,624,10.04,-0.12,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.012 reversed,True
S00017,IEEE_CompTestFeeder,6232,0,185,185,0.99457,1.15662,0.16205,0.90593,1.00536,0.90791,1.15662,0.15126,623,8.77,38.48,92.8,92.59,SEC-4,T7,4178.44,4006.35,-172.09,1690.21,1661.9,-28.31,442.35,455.26,12.91,1,voltage,Max voltage 1.1566 pu at bus 623 exceeds 1.05,CONSTRAINED,734,702,734,623,29.7,-0.21,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.093 reversed,True
S00018,IEEE_CompTestFeeder,633,0,63,63,0.91349,0.94367,0.03017,0.90593,1.00536,0.92472,1.00599,0.00063,702,8.77,12.31,92.8,92.57,SEC-7,T7,4178.44,4103.26,-75.19,1690.21,1664.43,-25.78,442.35,430.17,-12.19,1,caution,rise 0.0302>=0.03; reverse flow,CAUTION,734,702,735,702,3.53,-0.23,0,0.24,OH-1 parallel with OH-2,T7,line 38 0.016->-0.046 reversed,True
S00019,IEEE_CompTestFeeder,770,6,226,232,0.95138,0.9787,0.02732,0.90622,1.00546,0.9168,1.0089,0.00344,702,8.75,8.0,92.77,92.22,OH-1 parallel with OH-2,T1,4170.01,3862.11,-307.9,1685.84,1536.29,-149.55,439.92,358.02,-81.9,0,none,No violation,SAFE,734,702,734,702,-0.75,-0.55,450.0,0.24,OH-1 parallel with OH-2,T7,none,True
S00020,IEEE_CompTestFeeder,714,0,121,121,0.99084,0.99373,0.00289,0.90593,1.00536,0.90683,1.00609,0.00072,702,8.77,8.76,92.8,92.71,OH-1 parallel with OH-2,T7,4178.44,4052.02,-126.43,1690.21,1663.75,-26.46,442.35,436.93,-5.43,0,none,No violation,SAFE,734,702,734,702,-0.01,-0.1,240.0,0.208,OH-1 parallel with OH-2,T7,none,True
S00021,IEEE_CompTestFeeder,6232,0,95,95,0.99457,1.08404,0.08947,0.90593,1.00536,0.9071,1.08404,0.07867,623,8.77,21.08,92.8,92.68,SEC-6,T7,4178.44,4083.83,-94.61,1690.21,1671.23,-18.98,442.35,442.74,0.39,1,voltage,Max voltage 1.0840 pu at bus 623 exceeds 1.05,CONSTRAINED,734,702,734,623,12.31,-0.13,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.021 reversed,True
S00022,IEEE_CompTestFeeder,734,0,184,184,0.90593,1.05174,0.14581,0.90593,1.00536,0.92801,1.05174,0.04637,734,8.77,38.54,92.8,92.41,SEC-8,T1,4178.44,3981.21,-197.23,1690.21,1629.92,-60.29,442.35,429.13,-13.23,1,voltage,Max voltage 1.0517 pu at bus 734 exceeds 1.05,CONSTRAINED,734,702,735,734,29.77,-0.39,15.85,0.24,OH-1 parallel with OH-2,T7,line 38 0.016->-0.149 reversed,True
S00023,IEEE_CompTestFeeder,708,0,48,48,0.95802,0.95981,0.0018,0.90593,1.00536,0.90628,1.00565,0.00028,702,8.77,8.77,92.8,92.77,OH-1 parallel with OH-2,T7,4178.44,4128.25,-50.19,1690.21,1679.96,-10.25,442.35,440.16,-2.19,0,none,No violation,SAFE,734,702,734,702,-0.0,-0.04,75.0,0.24,OH-1 parallel with OH-2,T7,none,True
S00024,IEEE_CompTestFeeder,7691,5,123,128,0.95487,0.97359,0.01871,0.90617,1.00545,0.91194,1.00731,0.00187,702,8.76,8.35,92.77,92.37,OH-1 parallel with OH-2,T1,4171.44,4002.93,-168.5,1686.63,1605.31,-81.33,440.35,394.84,-45.5,1,caution,reverse flow,CAUTION,734,702,734,702,-0.41,-0.4,0,0.24,OH-1 parallel with OH-2,T7,trafo 7 reversed,True
S00025,IEEE_CompTestFeeder,6242,0,241,241,0.99457,1.07521,0.08064,0.90593,1.00536,0.9089,1.07521,0.06985,624,8.77,53.92,92.8,92.49,SEC-1,T7,4178.44,3936.49,-241.95,1690.21,1643.46,-46.75,442.35,441.41,-0.95,1,voltage,Max voltage 1.0752 pu at bus 624 exceeds 1.05,CONSTRAINED,734,702,734,624,45.14,-0.32,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.158 reversed,True
S00026,IEEE_CompTestFeeder,740,0,220,220,0.98204,1.00012,0.01808,0.90593,1.00536,0.91389,1.00766,0.0023,702,8.77,8.15,92.8,99.42,OH-1 parallel with OH-2,T5,4178.44,3910.99,-267.45,1690.21,1595.34,-94.87,442.35,394.9,-47.45,1,caution,trafo 99.4>=95.0%; reverse flow,CAUTION,734,702,734,702,-0.63,6.62,75.0,0.24,OH-1 parallel with OH-2,T7,line 25 0.117->-0.103 reversed,True
S00027,IEEE_CompTestFeeder,632,0,13,13,0.92107,0.92205,0.00098,0.90593,1.00536,0.90693,1.0055,0.00013,702,8.77,8.74,92.8,92.75,OH-1 parallel with OH-2,T7,4178.44,4162.65,-15.79,1690.21,1684.63,-5.58,442.35,439.56,-2.79,0,none,No violation,SAFE,734,702,734,702,-0.04,-0.05,0,0.24,OH-1 parallel with OH-2,T7,none,True
S00028,IEEE_CompTestFeeder,6202,0,21,21,0.99457,0.99525,0.00068,0.90593,1.00536,0.90624,1.00551,0.00014,702,8.77,8.72,92.8,92.77,OH-1 parallel with OH-2,T7,4178.44,4155.6,-22.84,1690.21,1684.68,-5.53,442.35,440.51,-1.84,0,none,No violation,SAFE,734,702,734,702,-0.05,-0.03,0,0.24,OH-1 parallel with OH-2,T7,none,True
S00029,IEEE_CompTestFeeder,739,12,229,241,0.98583,1.00452,0.01869,0.90638,1.0055,0.91452,1.00781,0.00231,702,8.74,8.1,92.75,133.27,OH-1 parallel with OH-2,T6,4163.62,3886.92,-276.7,1684.57,1589.65,-94.92,439.53,391.83,-47.7,1,transformer_loading,Transformer T6 loading 133.3% exceeds 100.0%,CONSTRAINED,734,702,734,702,-0.64,40.52,41.1,0.24,OH-1 parallel with OH-2,T7,line 25 0.104->-0.123 reversed,True
S00030,IEEE_CompTestFeeder,6202,0,132,132,0.99457,0.99876,0.00419,0.90593,1.00536,0.90783,1.00624,0.00088,702,8.77,8.59,92.8,92.6,OH-6,T7,4178.44,4035.41,-143.04,1690.21,1657.04,-33.17,442.35,431.32,-11.04,1,caution,reverse flow,CAUTION,734,702,734,702,-0.19,-0.2,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.066 reversed,True
