pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,pv_bus_vn_kv,existing_load_at_bus_kw,transformer_association,feeder_section,transformer_sn_kva,base_voltage_pu,feeder_distance_km,upstream_r_ohm,upstream_x_ohm,upstream_z_ohm,pv_penetration_ratio,pv_to_transformer_ratio,new_pv_to_transformer_ratio,load_to_transformer_ratio,label
716,0.0,1.5,1.5,0.48,15.85,T24(HV),Branch_701-708,300.0,0.97763,0.9144,0.4676,0.2627,0.5363,0.09463722397476342,0.005,0.005,0.05283333333333333,SAFE
740,0.0,3.7,3.7,0.24,75.0,T5,Main_735-750,150.0,0.98202,23.0885,14.9212,11.4648,18.8171,0.04933333333333333,0.024666666666666667,0.024666666666666667,0.5,SAFE
7692,0.0,2.7,2.7,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,2.7,0.018000000000000002,0.018000000000000002,0.0,SAFE
623,0.0,2.8,2.8,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,2.8,0.009333333333333332,0.009333333333333332,0.0,SAFE
623,7.3,11.7,19.0,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,19.0,0.06333333333333334,0.039,0.0,SAFE
6321,0.0,5.2,5.2,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,5.2,0.034666666666666665,0.034666666666666665,0.0,SAFE
620,0.0,15.4,15.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,15.4,0.051333333333333335,0.051333333333333335,0.0,SAFE
6322,0.0,7.5,7.5,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,7.5,0.05,0.05,0.0,SAFE
6221,0.0,2.9,2.9,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1872,4.2178,2.8303,5.0794,2.9,0.009666666666666667,0.009666666666666667,0.0,SAFE
6231,0.0,17.1,17.1,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,17.1,0.057,0.057,0.0,SAFE
625,0.0,14.9,14.9,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1872,4.2178,2.8303,5.0794,14.9,0.049666666666666665,0.049666666666666665,0.0,SAFE
6242,0.0,2.5,2.5,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,2.5,0.008333333333333333,0.008333333333333333,0.0,SAFE
6232,1.4,12.0,13.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,13.4,0.04466666666666667,0.04,0.0,SAFE
743,8.7,15.7,24.4,0.24,240.0,T7,Main_735-750,300.0,0.96367,21.8693,15.052,11.1097,18.708,0.10166666666666666,0.08133333333333333,0.05233333333333333,0.8,SAFE
714,0.0,8.2,8.2,0.208,240.0,T24,Branch_701-708,30.0,0.99083,0.9144,0.4676,0.2627,0.5363,0.034166666666666665,0.2733333333333333,0.2733333333333333,8.0,SAFE
6232,0.0,4.1,4.1,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,4.1,0.013666666666666666,0.013666666666666666,0.0,SAFE
762,1.6,14.3,15.9,0.48,45.0,T13,Branch_752-765,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.35333333333333333,0.106,0.09533333333333334,0.3,SAFE
726,0.0,11.1,11.1,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.2329,4.237,2.8374,5.0993,11.1,0.0022199999999999998,0.0022199999999999998,0.0,SAFE
7391,6.8,8.2,15.0,0.24,0.0,T6,LV_secondary_T2_T4,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,15.0,0.1,0.05466666666666666,0.0,SAFE
740,8.0,14.0,22.0,0.24,75.0,T5,Main_735-750,150.0,0.98202,23.0885,14.9212,11.4648,18.8171,0.29333333333333333,0.14666666666666667,0.09333333333333334,0.5,SAFE
743,4.6,16.6,21.200000000000003,0.24,240.0,T7,Main_735-750,300.0,0.96367,21.8693,15.052,11.1097,18.708,0.08833333333333335,0.07066666666666667,0.05533333333333334,0.8,SAFE
633,8.9,5.0,13.9,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.91348,17.0383,11.6797,8.589,14.4978,13.9,0.09266666666666667,0.03333333333333333,0.0,SAFE
6202,0.0,5.0,5.0,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,5.0,0.016666666666666666,0.016666666666666666,0.0,SAFE
